"Team","Medal","Count"
"ABW","Bronze",0
"AFG","Bronze",2
"AGO","Bronze",0
"ALB","Bronze",0
"AND","Bronze",0
"ARE","Bronze",1
"ARG","Bronze",91
"ARM","Bronze",9
"ASM","Bronze",0
"ATG","Bronze",0
"AUS","Bronze",510
"AUT","Bronze",53
"AZE","Bronze",25
"BDI","Bronze",0
"BEL","Bronze",166
"BEN","Bronze",0
"BFA","Bronze",0
"BGD","Bronze",0
"BGR","Bronze",141
"BHR","Bronze",1
"BHS","Bronze",15
"BIH","Bronze",0
"BLR","Bronze",66
"BLZ","Bronze",0
"BMU","Bronze",1
"BOL","Bronze",0
"BRA","Bronze",191
"BRB","Bronze",1
"BRN","Bronze",0
"BTN","Bronze",0
"BWA","Bronze",0
"CAF","Bronze",0
"CAN","Bronze",344
"CHE","Bronze",139
"CHL","Bronze",20
"CHN","Bronze",258
"CIV","Bronze",1
"CMR","Bronze",1
"COD","Bronze",0
"COG","Bronze",0
"COK","Bronze",0
"COL","Bronze",14
"COM","Bronze",0
"CPV","Bronze",0
"CRI","Bronze",2
"CUB","Bronze",116
"CYM","Bronze",0
"CYP","Bronze",0
"CZE","Bronze",32
"DEU","Bronze",649
"DJI","Bronze",1
"DMA","Bronze",0
"DNK","Bronze",177
"DOM","Bronze",2
"DZA","Bronze",8
"ECU","Bronze",0
"EGY","Bronze",12
"ERI","Bronze",1
"ESP","Bronze",135
"EST","Bronze",24
"ETH","Bronze",22
"FIN","Bronze",217
"FJI","Bronze",0
"FRA","Bronze",587
"FSM","Bronze",0
"GAB","Bronze",0
"GBR","Bronze",620
"GEO","Bronze",18
"GHA","Bronze",22
"GIN","Bronze",0
"GMB","Bronze",0
"GNB","Bronze",0
"GNQ","Bronze",0
"GRC","Bronze",84
"GRD","Bronze",0
"GTM","Bronze",0
"GUM","Bronze",0
"GUY","Bronze",1
"HKG","Bronze",1
"HND","Bronze",0
"HRV","Bronze",36
"HTI","Bronze",5
"HUN","Bronze",363
"IDN","Bronze",13
"IND","Bronze",40
"IRL","Bronze",13
"IRN","Bronze",29
"IRQ","Bronze",1
"ISL","Bronze",2
"ISR","Bronze",7
"ITA","Bronze",454
"JAM","Bronze",44
"JOR","Bronze",0
"JPN","Bronze",333
"KAZ","Bronze",29
"KEN","Bronze",31
"KGZ","Bronze",2
"KHM","Bronze",0
"KIR","Bronze",0
"KNA","Bronze",0
"KOR","Bronze",175
"KOS","Bronze",0
"KWT","Bronze",2
"LAO","Bronze",0
"LBR","Bronze",0
"LBY","Bronze",0
"LCA","Bronze",0
"LIE","Bronze",0
"LKA","Bronze",0
"LSO","Bronze",0
"LTU","Bronze",48
"LUX","Bronze",0
"LVA","Bronze",6
"MAR","Bronze",12
"MCO","Bronze",1
"MDA","Bronze",5
"MDG","Bronze",0
"MDV","Bronze",0
"MEX","Bronze",54
"MHL","Bronze",0
"MKD","Bronze",1
"MLI","Bronze",0
"MLT","Bronze",0
"MMR","Bronze",0
"MNE","Bronze",0
"MNG","Bronze",14
"MOZ","Bronze",1
"MRT","Bronze",0
"MUS","Bronze",1
"MWI","Bronze",0
"MYS","Bronze",5
"NAM","Bronze",0
"NER","Bronze",1
"NGA","Bronze",46
"NIC","Bronze",0
"NLD","Bronze",371
"NOR","Bronze",167
"NPL","Bronze",0
"NRU","Bronze",0
"NZL","Bronze",82
"OMN","Bronze",0
"PAK","Bronze",34
"PAN","Bronze",2
"PER","Bronze",0
"PHL","Bronze",7
"PLW","Bronze",0
"PNG","Bronze",0
"POL","Bronze",242
"PRI","Bronze",6
"PRK","Bronze",34
"PRT","Bronze",26
"PRY","Bronze",0
"PSE","Bronze",0
"QAT","Bronze",4
"ROU","Bronze",290
"RUS","Bronze",331
"RWA","Bronze",0
"SAU","Bronze",5
"SDN","Bronze",0
"SEN","Bronze",0
"SGP","Bronze",4
"SLB","Bronze",0
"SLE","Bronze",0
"SLV","Bronze",0
"SMR","Bronze",0
"SOM","Bronze",0
"SRB","Bronze",41
"SSD","Bronze",0
"STP","Bronze",0
"SUR","Bronze",1
"SVK","Bronze",12
"SVN","Bronze",15
"SWE","Bronze",358
"SWZ","Bronze",0
"SYC","Bronze",0
"SYR","Bronze",1
"TCD","Bronze",0
"TGO","Bronze",1
"THA","Bronze",13
"TJK","Bronze",2
"TKM","Bronze",0
"TLS","Bronze",0
"TON","Bronze",0
"TTO","Bronze",17
"TUN","Bronze",7
"TUR","Bronze",28
"TUV","Bronze",0
"TWN","Bronze",18
"TZA","Bronze",0
"UGA","Bronze",2
"UKR","Bronze",95
"URY","Bronze",30
"USA","Bronze",1197
"UZB","Bronze",17
"VCT","Bronze",0
"VEN","Bronze",10
"VGB","Bronze",0
"VIR","Bronze",0
"VNM","Bronze",0
"VUT","Bronze",0
"WSM","Bronze",0
"YEM","Bronze",0
"ZAF","Bronze",52
"ZMB","Bronze",1
"ZWE","Bronze",1
"ABW","Gold",0
"AFG","Gold",0
"AGO","Gold",0
"ALB","Gold",0
"AND","Gold",0
"ARE","Gold",1
"ARG","Gold",91
"ARM","Gold",2
"ASM","Gold",0
"ATG","Gold",0
"AUS","Gold",342
"AUT","Gold",29
"AZE","Gold",7
"BDI","Gold",1
"BEL","Gold",96
"BEN","Gold",0
"BFA","Gold",0
"BGD","Gold",0
"BGR","Gold",53
"BHR","Gold",1
"BHS","Gold",14
"BIH","Gold",0
"BLR","Gold",18
"BLZ","Gold",0
"BMU","Gold",0
"BOL","Gold",0
"BRA","Gold",109
"BRB","Gold",0
"BRN","Gold",0
"BTN","Gold",0
"BWA","Gold",0
"CAF","Gold",0
"CAN","Gold",158
"CHE","Gold",99
"CHL","Gold",3
"CHN","Gold",334
"CIV","Gold",1
"CMR","Gold",20
"COD","Gold",0
"COG","Gold",0
"COK","Gold",0
"COL","Gold",5
"COM","Gold",0
"CPV","Gold",0
"CRI","Gold",1
"CUB","Gold",164
"CYM","Gold",0
"CYP","Gold",0
"CZE","Gold",15
"DEU","Gold",592
"DJI","Gold",0
"DMA","Gold",0
"DNK","Gold",179
"DOM","Gold",3
"DZA","Gold",5
"ECU","Gold",1
"EGY","Gold",7
"ERI","Gold",0
"ESP","Gold",109
"EST","Gold",9
"ETH","Gold",22
"FIN","Gold",132
"FJI","Gold",13
"FRA","Gold",465
"FSM","Gold",0
"GAB","Gold",0
"GBR","Gold",636
"GEO","Gold",8
"GHA","Gold",0
"GIN","Gold",0
"GMB","Gold",0
"GNB","Gold",0
"GNQ","Gold",0
"GRC","Gold",62
"GRD","Gold",1
"GTM","Gold",0
"GUM","Gold",0
"GUY","Gold",0
"HKG","Gold",1
"HND","Gold",0
"HRV","Gold",54
"HTI","Gold",1
"HUN","Gold",432
"IDN","Gold",11
"IND","Gold",131
"IRL","Gold",9
"IRN","Gold",18
"IRQ","Gold",0
"ISL","Gold",0
"ISR","Gold",1
"ITA","Gold",518
"JAM","Gold",38
"JOR","Gold",1
"JPN","Gold",230
"KAZ","Gold",19
"KEN","Gold",34
"KGZ","Gold",0
"KHM","Gold",0
"KIR","Gold",0
"KNA","Gold",0
"KOR","Gold",171
"KOS","Gold",1
"KWT","Gold",0
"LAO","Gold",0
"LBR","Gold",0
"LBY","Gold",0
"LCA","Gold",0
"LIE","Gold",0
"LKA","Gold",0
"LSO","Gold",0
"LTU","Gold",6
"LUX","Gold",4
"LVA","Gold",3
"MAR","Gold",6
"MCO","Gold",0
"MDA","Gold",0
"MDG","Gold",0
"MDV","Gold",0
"MEX","Gold",30
"MHL","Gold",0
"MKD","Gold",0
"MLI","Gold",0
"MLT","Gold",0
"MMR","Gold",0
"MNE","Gold",0
"MNG","Gold",2
"MOZ","Gold",1
"MRT","Gold",0
"MUS","Gold",0
"MWI","Gold",0
"MYS","Gold",0
"NAM","Gold",0
"NER","Gold",0
"NGA","Gold",23
"NIC","Gold",0
"NLD","Gold",245
"NOR","Gold",227
"NPL","Gold",0
"NRU","Gold",0
"NZL","Gold",90
"OMN","Gold",0
"PAK","Gold",42
"PAN","Gold",1
"PER","Gold",1
"PHL","Gold",0
"PLW","Gold",0
"PNG","Gold",0
"POL","Gold",111
"PRI","Gold",1
"PRK","Gold",16
"PRT","Gold",4
"PRY","Gold",0
"PSE","Gold",0
"QAT","Gold",0
"ROU","Gold",161
"RUS","Gold",296
"RWA","Gold",0
"SAU","Gold",0
"SDN","Gold",0
"SEN","Gold",0
"SGP","Gold",1
"SLB","Gold",0
"SLE","Gold",0
"SLV","Gold",0
"SMR","Gold",0
"SOM","Gold",0
"SRB","Gold",15
"SSD","Gold",0
"STP","Gold",0
"SUR","Gold",1
"SVK","Gold",13
"SVN","Gold",6
"SWE","Gold",354
"SWZ","Gold",0
"SYC","Gold",0
"SYR","Gold",1
"TCD","Gold",0
"TGO","Gold",0
"THA","Gold",9
"TJK","Gold",1
"TKM","Gold",0
"TLS","Gold",0
"TON","Gold",0
"TTO","Gold",7
"TUN","Gold",3
"TUR","Gold",40
"TUV","Gold",0
"TWN","Gold",3
"TZA","Gold",0
"UGA","Gold",2
"UKR","Gold",42
"URY","Gold",31
"USA","Gold",2472
"UZB","Gold",9
"VCT","Gold",0
"VEN","Gold",2
"VGB","Gold",0
"VIR","Gold",0
"VNM","Gold",1
"VUT","Gold",0
"WSM","Gold",0
"YEM","Gold",0
"ZAF","Gold",32
"ZMB","Gold",0
"ZWE","Gold",17
"ABW","Silver",0
"AFG","Silver",0
"AGO","Silver",0
"ALB","Silver",0
"AND","Silver",0
"ARE","Silver",0
"ARG","Silver",92
"ARM","Silver",5
"ASM","Silver",0
"ATG","Silver",0
"AUS","Silver",452
"AUT","Silver",88
"AZE","Silver",12
"BDI","Silver",1
"BEL","Silver",193
"BEN","Silver",0
"BFA","Silver",0
"BGD","Silver",0
"BGR","Silver",142
"BHR","Silver",1
"BHS","Silver",11
"BIH","Silver",0
"BLR","Silver",40
"BLZ","Silver",0
"BMU","Silver",0
"BOL","Silver",0
"BRA","Silver",175
"BRB","Silver",0
"BRN","Silver",0
"BTN","Silver",0
"BWA","Silver",1
"CAF","Silver",0
"CAN","Silver",239
"CHE","Silver",178
"CHL","Silver",9
"CHN","Silver",317
"CIV","Silver",1
"CMR","Silver",1
"COD","Silver",0
"COG","Silver",0
"COK","Silver",0
"COL","Silver",9
"COM","Silver",0
"CPV","Silver",0
"CRI","Silver",1
"CUB","Silver",129
"CYM","Silver",0
"CYP","Silver",1
"CZE","Silver",24
"DEU","Silver",538
"DJI","Silver",0
"DMA","Silver",0
"DNK","Silver",236
"DOM","Silver",2
"DZA","Silver",4
"ECU","Silver",1
"EGY","Silver",8
"ERI","Silver",0
"ESP","Silver",243
"EST","Silver",10
"ETH","Silver",9
"FIN","Silver",125
"FJI","Silver",0
"FRA","Silver",575
"FSM","Silver",0
"GAB","Silver",1
"GBR","Silver",729
"GEO","Silver",6
"GHA","Silver",1
"GIN","Silver",0
"GMB","Silver",0
"GNB","Silver",0
"GNQ","Silver",0
"GRC","Silver",109
"GRD","Silver",1
"GTM","Silver",1
"GUM","Silver",0
"GUY","Silver",0
"HKG","Silver",2
"HND","Silver",0
"HRV","Silver",48
"HTI","Silver",1
"HUN","Silver",328
"IDN","Silver",17
"IND","Silver",19
"IRL","Silver",13
"IRN","Silver",21
"IRQ","Silver",0
"ISL","Silver",15
"ISR","Silver",1
"ITA","Silver",474
"JAM","Silver",75
"JOR","Silver",0
"JPN","Silver",287
"KAZ","Silver",22
"KEN","Silver",41
"KGZ","Silver",1
"KHM","Silver",0
"KIR","Silver",0
"KNA","Silver",0
"KOR","Silver",206
"KOS","Silver",0
"KWT","Silver",0
"LAO","Silver",0
"LBR","Silver",0
"LBY","Silver",0
"LCA","Silver",0
"LIE","Silver",0
"LKA","Silver",2
"LSO","Silver",0
"LTU","Silver",7
"LUX","Silver",2
"LVA","Silver",11
"MAR","Silver",5
"MCO","Silver",0
"MDA","Silver",3
"MDG","Silver",0
"MDV","Silver",0
"MEX","Silver",26
"MHL","Silver",0
"MKD","Silver",0
"MLI","Silver",0
"MLT","Silver",0
"MMR","Silver",0
"MNE","Silver",14
"MNG","Silver",10
"MOZ","Silver",0
"MRT","Silver",0
"MUS","Silver",0
"MWI","Silver",0
"MYS","Silver",11
"NAM","Silver",4
"NER","Silver",1
"NGA","Silver",30
"NIC","Silver",0
"NLD","Silver",302
"NOR","Silver",196
"NPL","Silver",0
"NRU","Silver",0
"NZL","Silver",55
"OMN","Silver",0
"PAK","Silver",45
"PAN","Silver",0
"PER","Silver",14
"PHL","Silver",3
"PLW","Silver",0
"PNG","Silver",0
"POL","Silver",185
"PRI","Silver",2
"PRK","Silver",15
"PRT","Silver",11
"PRY","Silver",17
"PSE","Silver",0
"QAT","Silver",1
"ROU","Silver",200
"RUS","Silver",278
"RWA","Silver",0
"SAU","Silver",1
"SDN","Silver",1
"SEN","Silver",1
"SGP","Silver",4
"SLB","Silver",0
"SLE","Silver",0
"SLV","Silver",0
"SMR","Silver",0
"SOM","Silver",0
"SRB","Silver",29
"SSD","Silver",0
"STP","Silver",0
"SUR","Silver",0
"SVK","Silver",17
"SVN","Silver",9
"SWE","Silver",396
"SWZ","Silver",0
"SYC","Silver",0
"SYR","Silver",1
"TCD","Silver",0
"TGO","Silver",0
"THA","Silver",8
"TJK","Silver",1
"TKM","Silver",0
"TLS","Silver",0
"TON","Silver",1
"TTO","Silver",8
"TUN","Silver",3
"TUR","Silver",27
"TUV","Silver",0
"TWN","Silver",28
"TZA","Silver",2
"UGA","Silver",3
"UKR","Silver",51
"URY","Silver",2
"USA","Silver",1333
"UZB","Silver",7
"VCT","Silver",0
"VEN","Silver",3
"VGB","Silver",0
"VIR","Silver",1
"VNM","Silver",3
"VUT","Silver",0
"WSM","Silver",0
"YEM","Silver",0
"ZAF","Silver",47
"ZMB","Silver",1
"ZWE","Silver",4
